id,video_path
1,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__Baddest_Fight_Scenes_EVER!_-_Kickboxer_-_Part_1_of_2_kick_f_cm_np1_fr_med_11.avi
2,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/American_History_X_kick_f_nm_np1_le_bad_37.avi
3,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__Baddest_Fight_Scenes_EVER!_-_Kickboxer_-_Part_1_of_2_kick_f_nm_np1_ba_med_7.avi
4,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/THE_PROTECTOR_kick_f_nm_np1_le_med_8.avi
5,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__Baddest_Fight_Scenes_EVER!_-_Kickboxer_-_Part_1_of_2_kick_u_cm_np1_ba_med_10.avi
6,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/KUNG_FU_HUSTLE_kick_f_nm_np1_fr_bad_37.avi
7,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/THE_PROTECTOR_kick_f_cm_np1_ba_med_63.avi
8,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/THE_PROTECTOR_kick_f_cm_np1_ri_bad_38.avi
9,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/THE_PROTECTOR_kick_f_nm_np1_ba_med_77.avi
10,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__Best_fight_scene_of_all_time_kick_f_cm_np1_ba_bad_11.avi
11,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__Best_fight_scene_of_all_time_kick_u_cm_np1_fr_bad_13.avi
12,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__bruce_lee_v_s_japanese_kick_u_cm_np1_ri_bad_0.avi
13,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__bruce_lee_v_s_japanese_kick_u_cm_np1_ri_bad_1.avi
14,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/kick__Best_fight_scene_of_all_time_kick_u_cm_np1_fr_bad_12.avi
15,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/TheBoondockSaints_kick_f_cm_np1_fr_med_88.avi
16,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/THE_PROTECTOR_kick_u_cm_np1_ri_med_47.avi
17,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/KUNG_FU_HUSTLE_kick_f_cm_np1_le_med_10.avi
18,/Users/apoorvagarwal/Desktop/project/cse-515-phase2/target_videos/kick/Prelinger_ActYourA1949_kick_f_nm_np1_ri_bad_10.avi
